"sname" "n"
"471" "TRU" 6
"472" "TUS" 25
"473" "UHU" 23
"474" "UPE" 4
"475" "URU" 4
"476" "USI" 2
"477" "UTE" 5
"478" "VAA" 58
"479" "VAD" 39
"480" "VAI" 119
"481" "VAN" 27
"482" "VAP" 75
"483" "VAQ" 5
"484" "VAT" 2
"485" "VAU" 18
"486" "VAZ" 19
"487" "VEB" 61
"488" "VEG" 10
"489" "VEH" 25
"490" "VEI" 93
"491" "VEL" 79
"492" "VES" 28
"493" "VET" 132
"494" "VEX" 95
"495" "VIA" 5
"496" "VIB" 46
"497" "VIG" 117
"498" "VIN" 98
"499" "VIO" 69
"500" "VIP" 25
"501" "VIV" 57
"502" "VOG" 117
"503" "VOM" 1
"504" "VOR" 47
"505" "VOT" 87
"506" "VOW" 71
"507" "VOY" 60
"508" "VUG" 22
"509" "VUR" 1
"510" "WAB" 52
"511" "WAD" 99
"512" "WAG" 42
"513" "WAJ" 23
"514" "WAM" 6
"515" "WAP" 18
"516" "WAQ" 1
"517" "WAS" 68
"518" "WAW" 29
"519" "WEA" 69
"520" "WED" 6
"521" "WEG" 14
"522" "WEI" 18
"523" "WEK" 5
"524" "WEM" 6
"525" "WEN" 67
"526" "WER" 21
"527" "WES" 41
"528" "WEU" 21
"529" "WEW" 23
"530" "WEX" 6
"531" "WEY" 13
"532" "WEZ" 15
"533" "WHE" 92
"534" "WHO" 6
"535" "WID" 2
"536" "WIE" 1
"537" "WIF" 28
"538" "WIP" 75
"539" "WIR" 32
"540" "WIV" 31
"541" "WIW" 13
"542" "WIZ" 23
"543" "WOB" 67
"544" "WOC" 11
"545" "WOF" 11
"546" "WOI" 7
"547" "WOK" 18
"548" "WOL" 67
"549" "WON" 33
"550" "WOO" 27
"551" "WOP" 5
"552" "WOR" 1
"553" "WOV" 14
"554" "WOZ" 16
"555" "WRA" 14
"556" "WRE" 1
"557" "WRI" 103
"558" "WRY" 5
"559" "WUA" 54
"560" "WUM" 22
"561" "WUN" 3
"562" "WUT" 1
"563" "WYA" 9
"564" "WYC" 15
"565" "WYL" 19
"566" "WYN" 92
"567" "WYO" 3
"568" "YAB" 2
"569" "YAI" 54
"570" "YAK" 9
"571" "YAN" 44
"572" "YAP" 5
"573" "YAR" 33
"574" "YAY" 4
"575" "YAZ" 3
"576" "YED" 1
"577" "YEL" 16
"578" "YEN" 2
"579" "YIP" 3
"580" "YOB" 45
"581" "YOD" 1
"582" "YOG" 40
"583" "YOI" 23
"584" "YOK" 26
"585" "YOL" 11
"586" "YUG" 13
"587" "YUM" 2
"588" "ZAI" 40
"589" "ZAK" 19
"590" "ZAM" 11
"591" "ZAN" 26
"592" "ZAP" 2
"593" "ZAW" 2
"594" "ZIB" 68
"595" "ZIM" 8
"596" "ZIN" 30
"597" "ZIT" 1
"598" "ZIZ" 52
"599" "ZOR" 14
"600" "ZUC" 4
"601" "ZUR" 8
